 # material = aluminum                
 # eff mass density (g/cc) =    2.70000000000000     
 # Zbar =    4.35322408794477     
#  All densities are *4*pi*r^2
#            r(a_B)                    ne_pa                     ne_scr                    ne_ion                   ne_full                   ne_ext 
        0.78036385321E-002        0.86978282777E+000        0.15209580454E-002        0.86826186973E+000        0.86979585575E+000        0.13027976798E-004
        0.78873230656E-002        0.88660915030E+000        0.15503398104E-002        0.88505881049E+000        0.88662245920E+000        0.13308894052E-004
        0.79714539165E-002        0.90364827394E+000        0.15800917179E-002        0.90206818222E+000        0.90366186827E+000        0.13594330001E-004
        0.80560310850E-002        0.92090109825E+000        0.16102152887E-002        0.91929088296E+000        0.92091498258E+000        0.13884332845E-004
        0.81410545709E-002        0.93836850447E+000        0.16407120110E-002        0.93672779246E+000        0.93838268343E+000        0.14178951039E-004
        0.82265243744E-002        0.95605135540E+000        0.16715833400E-002        0.95437977206E+000        0.95606583363E+000        0.14478233296E-004
        0.83124404954E-002        0.97395049511E+000        0.17028306974E-002        0.97224766441E+000        0.97396527734E+000        0.14782228581E-004
        0.83988029339E-002        0.99206674883E+000        0.17344554714E-002        0.99033229336E+000        0.99208183981E+000        0.15090986118E-004
        0.84856116899E-002        0.10104009227E+001        0.17664590160E-002        0.10086344637E+001        0.10104163273E+001        0.15404555386E-004
        0.85728667634E-002        0.10289538037E+001        0.17988426510E-002        0.10271549611E+001        0.10289695267E+001        0.15722986117E-004
        0.86605681545E-002        0.10477261593E+001        0.18316076614E-002        0.10458945517E+001        0.10477422057E+001        0.16046328304E-004
        0.87487158630E-002        0.10667187375E+001        0.18647552975E-002        0.10648539822E+001        0.10667351121E+001        0.16374632190E-004
        0.88373098891E-002        0.10859322662E+001        0.18982867740E-002        0.10840339795E+001        0.10859489742E+001        0.16707948278E-004
        0.89263502326E-002        0.11053674538E+001        0.19322032704E-002        0.11034352505E+001        0.11053845001E+001        0.17046327325E-004
        0.90158368937E-002        0.11250249882E+001        0.19665059301E-002        0.11230584823E+001        0.11250423780E+001        0.17389820344E-004
        0.91057698723E-002        0.11449055373E+001        0.20011958605E-002        0.11429043414E+001        0.11449232758E+001        0.17738478603E-004
        0.91961491684E-002        0.11650097483E+001        0.20362741325E-002        0.11629734741E+001        0.11650278406E+001        0.18092353627E-004
        0.92869747820E-002        0.11853382479E+001        0.20717417805E-002        0.11832665061E+001        0.11853566993E+001        0.18451497197E-004
        0.93782467132E-002        0.12058916420E+001        0.21075998018E-002        0.12037840422E+001        0.12059104579E+001        0.18815961347E-004
