# Time-averaged data for fix myRDFav
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
5300 100
87 9.15476 0.998025 195.825
88 9.2606 0.993235 202.649
89 9.36643 1.00199 209.691
90 9.47227 1.00375 216.906
91 9.5781 1.00342 224.28
92 9.68394 1.00204 231.808
93 9.78977 1.00647 239.536
94 9.89561 1.00504 247.42
95 10.0014 1.00876 255.504
96 10.1073 1.00481 263.727
97 10.2131 1.01004 272.167
98 10.319 1.00231 280.717
99 10.4248 1.00333 289.452
100 10.5306 0.997575 298.314
5900 100
1 0.0529177 0 0
2 0.158753 0 0
3 0.264588 0 0
4 0.370424 0 0
5 0.476259 0 0
6 0.582095 0 0
7 0.68793 0 0
8 0.793766 0 0
9 0.899601 0 0
10 1.00544 0 0
11 1.11127 0 0
12 1.21711 0 0
13 1.32294 0 0
14 1.42878 0 0
15 1.53461 0 0
16 1.64045 0.00264311 0.00057
17 1.74628 0.00713673 0.002314
18 1.85212 0.0471117 0.015264
19 1.95795 0.165068 0.06597
20 2.06379 0.36434 0.190312
21 2.16963 0.710942 0.45846
22 2.27546 1.09319 0.911982
23 2.3813 1.37472 1.53658
24 2.48713 1.62054 2.33975
25 2.59297 1.68213 3.24589
26 2.6988 1.69889 4.23729
27 2.80464 1.6296 5.26429
28 2.91047 1.47282 6.26385
29 3.01631 1.30543 7.21541
30 3.12214 1.18 8.13694
31 3.22798 1.08787 9.0451
32 3.33382 0.988412 9.92522
33 3.43965 0.926375 10.8033
34 3.54549 0.827199 11.6364
35 3.65132 0.793972 12.4844
36 3.75716 0.779641 13.3661
37 3.86299 0.789404 14.3099
38 3.96883 0.797188 15.3159
39 4.07466 0.806516 16.3886
40 4.1805 0.858694 17.5909
41 4.28633 0.876887 18.8816
42 4.39217 0.942538 20.3383
43 4.498 0.976197 21.9205
44 4.60384 1.02838 23.6668
45 4.70968 1.04686 25.527
46 4.81551 1.08613 27.5448
47 4.92135 1.10538 29.6895
48 5.02718 1.10607 31.929
49 5.13302 1.10806 34.2678
50 5.23885 1.09273 36.6705
51 5.34469 1.0525 39.0791
52 5.45052 1.06864 41.6224
53 5.55636 1.02837 44.1659
54 5.66219 0.995845 46.7237
55 5.76803 1.00296 49.3969
56 5.87386 0.988868 52.1302
57 5.9797 0.966827 54.8997
58 6.08554 0.951144 57.7216
59 6.19137 0.951514 60.6436
60 6.29721 0.951187 63.6653
61 6.40304 0.956123 66.8057
62 6.50888 0.962314 70.0717
63 6.61471 0.981189 73.511
64 6.72055 0.990361 77.0944
65 6.82638 0.982807 80.7634
66 6.93222 0.994329 84.5914
67 7.03805 1.00904 88.5955
68 7.14389 1.00569 92.7072
69 7.24972 1.01907 96.998
70 7.35556 1.02955 101.46
71 7.4614 1.01856 106.003
72 7.56723 1.02384 110.7
73 7.67307 1.01882 115.505
74 7.7789 1.01918 120.446
75 7.88474 1.01443 125.498
76 7.99057 1.00993 130.664
77 8.09641 0.992638 135.877
78 8.20224 0.994427 141.236
79 8.30808 1.00193 146.777
80 8.41391 0.988566 152.383
81 8.51975 0.989368 158.136
82 8.62559 0.99512 164.067
83 8.73142 0.992092 170.126
84 8.83726 0.984125 176.284
85 8.94309 0.990085 182.627
86 9.04893 0.990781 189.126
87 9.15476 0.996542 195.817
88 9.2606 0.996683 202.665
89 9.36643 0.995839 209.663
90 9.47227 1.00397 216.88
91 9.5781 1.01288 224.324
92 9.68394 1.00011 231.837
93 9.78977 1.00358 239.542
94 9.89561 1.00581 247.433
95 10.0014 1.00634 255.497
96 10.1073 1.00665 263.735
97 10.2131 1.00947 272.17
98 10.319 1.00223 280.72
99 10.4248 1.00263 289.449
100 10.5306 1.00265 298.356
6000 100
1 0.0529177 0 0
2 0.158753 0 0
3 0.264588 0 0
4 0.370424 0 0
5 0.476259 0 0
6 0.582095 0 0
7 0.68793 0 0
8 0.793766 0 0
9 0.899601 0 0
10 1.00544 0 0
11 1.11127 0 0
12 1.21711 0 0
13 1.32294 0 0
14 1.42878 0 0
15 1.53461 0 0
16 1.64045 0.00126127 0.000272
17 1.74628 0.00760324 0.00213
18 1.85212 0.0461295 0.01481
19 1.95795 0.161312 0.064362
20 2.06379 0.37517 0.1924
21 2.16963 0.687224 0.451602
22 2.27546 1.08315 0.900956
23 2.3813 1.40877 1.54102
24 2.48713 1.58815 2.32814
25 2.59297 1.72006 3.25471
26 2.6988 1.70444 4.24935
27 2.80464 1.60446 5.2605
28 2.91047 1.44766 6.24299
29 3.01631 1.33347 7.21498
30 3.12214 1.19626 8.14922
31 3.22798 1.0779 9.04906
32 3.33382 0.999189 9.93877
33 3.43965 0.912417 10.8036
34 3.54549 0.830379 11.6399
35 3.65132 0.782623 12.4758
36 3.75716 0.785113 13.3637
37 3.86299 0.789573 14.3077
38 3.96883 0.800569 15.3179
39 4.07466 0.805168 16.3889
40 4.1805 0.852926 17.5831
41 4.28633 0.890089 18.8932
42 4.39217 0.938018 20.3429
43 4.498 0.973978 21.9216
44 4.60384 1.03262 23.675
45 4.70968 1.04889 25.5389
46 4.81551 1.07167 27.5297
47 4.92135 1.10782 29.6793
48 5.02718 1.11202 31.9307
49 5.13302 1.12063 34.2961
50 5.23885 1.06924 36.6471
51 5.34469 1.0664 39.0875
52 5.45052 1.0647 41.6215
53 5.55636 1.02197 44.1491
54 5.66219 1.01146 46.747
55 5.76803 0.988528 49.3817
56 5.87386 0.985812 52.1066
57 5.9797 0.968341 54.8804
58 6.08554 0.95618 57.7172
59 6.19137 0.953206 60.6445
60 6.29721 0.948145 63.6565
61 6.40304 0.956984 66.7997
62 6.50888 0.960156 70.0584
63 6.61471 0.987036 73.5182
64 6.72055 0.988311 77.0942
65 6.82638 0.983058 80.7641
66 6.93222 0.99792 84.6059
67 7.03805 1.00541 88.5956
68 7.14389 1.00351 92.6984
69 7.24972 1.02132 96.9987
70 7.35556 1.02912 101.459
71 7.4614 1.01753 105.997
72 7.56723 1.02431 110.696
73 7.67307 1.02938 115.551
74 7.7789 1.01087 120.452
75 7.88474 1.0106 125.485
76 7.99057 1.01265 130.665
77 8.09641 0.992948 135.879
78 8.20224 0.997761 141.257
79 8.30808 0.990566 146.734
80 8.41391 0.993671 152.369
81 8.51975 0.989719 158.125
82 8.62559 0.999582 164.082
83 8.73142 0.990456 170.131
84 8.83726 0.98127 176.271
85 8.94309 0.990542 182.617
86 9.04893 0.990268 189.113
87 9.15476 0.997984 195.814
88 9.2606 0.996312 202.658
89 9.36643 1.0001 209.687
90 9.47227 1.00155 216.886
91 9.5781 1.00932 224.304
92 9.68394 1.00273 231.837
93 9.78977 1.00123 239.524
94 9.89561 1.0104 247.451
95 10.0014 1.00564 255.509
96 10.1073 1.00451 263.73
97 10.2131 1.00843 272.157
98 10.319 1.00811 280.756
99 10.4248 1.00008 289.463
100 10.5306 1.00473 298.388
6100 100
1 0.0529177 0 0
2 0.158753 0 0
3 0.264588 0 0
4 0.370424 0 0
5 0.476259 0 0
6 0.582095 0 0
7 0.68793 0 0
8 0.793766 0 0
9 0.899601 0 0
10 1.00544 0 0
11 1.11127 0 0
12 1.21711 0 0
13 1.32294 0 0
14 1.42878 0 0
15 1.53461 0 0
16 1.64045 0.000769746 0.000166
17 1.74628 0.00691575 0.001856
18 1.85212 0.049862 0.015562
19 1.95795 0.155999 0.063482
20 2.06379 0.368144 0.189122
21 2.16963 0.698571 0.452604
22 2.27546 1.06464 0.894282
23 2.3813 1.41557 1.53743
24 2.48713 1.57407 2.31757
25 2.59297 1.73395 3.25163
26 2.6988 1.71535 4.25264
27 2.80464 1.59391 5.25714
28 2.91047 1.46517 6.25151
29 3.01631 1.31674 7.21131
30 3.12214 1.21777 8.16235
31 3.22798 1.07724 9.06164
32 3.33382 0.973549 9.92852
33 3.43965 0.913983 10.7949
34 3.54549 0.829576 11.6303
35 3.65132 0.79662 12.4812
36 3.75716 0.786494 13.3707
37 3.86299 0.771954 14.2935
38 3.96883 0.80652 15.3113
39 4.07466 0.814352 16.3945
40 4.1805 0.849847 17.5844
41 4.28633 0.900786 18.9103
42 4.39217 0.928985 20.346
43 4.498 0.97967 21.9339
44 4.60384 1.02412 23.6729
45 4.70968 1.03966 25.5203
46 4.81551 1.08351 27.5332
47 4.92135 1.10678 29.6807
48 5.02718 1.11321 31.9346
49 5.13302 1.1116 34.2809
50 5.23885 1.07202 36.638
51 5.34469 1.0708 39.0885
52 5.45052 1.05566 41.601
53 5.55636 1.03477 44.1603
54 5.66219 1.0046 46.7405
55 5.76803 0.994306 49.3907
56 5.87386 0.977078 52.0913
57 5.9797 0.965883 54.8581
58 6.08554 0.956972 57.6973
59 6.19137 0.960348 60.6465
60 6.29721 0.951217 63.6683
61 6.40304 0.95207 66.7954
62 6.50888 0.969353 70.0853
63 6.61471 0.981453 73.5255
64 6.72055 0.985577 77.0916
