# atomic units
# Peak of g_ii(r) =   1.41
# Effective coupling: Gamma_ii=    27.4
#              r                  (g(i,j),j=i,nspecies, i=1,nspecies)
  3.33749106800E+00    1.43535792757E-01
  3.34479411192E+00    1.48802761400E-01
  3.35209715583E+00    1.54200323735E-01
  3.35940019974E+00    1.59718154288E-01
  3.36670324365E+00    1.65367613684E-01
  3.37400628757E+00    1.71137518682E-01
  3.38130933148E+00    1.77039743582E-01
  3.38861237539E+00    1.83062220219E-01
  3.39591541930E+00    1.89217355138E-01
  3.40321846322E+00    1.95492169735E-01
  3.41052150713E+00    2.01899621776E-01
  3.41782455104E+00    2.08425798136E-01
  3.42512759495E+00    2.15084227400E-01
  3.43243063887E+00    2.21860039719E-01
  3.43973368278E+00    2.28767353971E-01
  3.44703672669E+00    2.35790323368E-01
  3.45433977060E+00    2.42943677017E-01
  3.46164281452E+00    2.50210572696E-01
  3.46894585843E+00    2.57606369542E-01
  3.47624890234E+00    2.65113213839E-01
  3.48355194625E+00    2.72747114421E-01
  3.49085499017E+00    2.80489191859E-01
  3.49815803408E+00    2.88356124474E-01
  3.50546107799E+00    2.96327995032E-01
  3.51276412190E+00    3.04422171302E-01
  3.52006716582E+00    3.12617691322E-01
  3.52737020973E+00    3.20932621426E-01
  3.53467325364E+00    3.29344944531E-01
  3.54197629755E+00    3.37873463759E-01
  3.54927934147E+00    3.46495096847E-01
  3.55658238538E+00    3.55229391433E-01
  3.56388542929E+00    3.64052200045E-01
  3.57118847320E+00    3.72983833539E-01
  3.57849151712E+00    3.81999077242E-01
  3.58579456103E+00    3.91119022510E-01
  3.59309760494E+00    4.00317388253E-01
  3.60040064885E+00    4.09616061921E-01
  3.60770369277E+00    4.18987699182E-01
  3.61500673668E+00    4.28454998756E-01
  3.62230978059E+00    4.37989557226E-01
  3.62961282450E+00    4.47614899385E-01
  3.63691586841E+00    4.57301569089E-01
  3.64421891233E+00    4.67073930259E-01
  3.65152195624E+00    4.76901482470E-01
  3.65882500015E+00    4.86809441057E-01
  3.66612804406E+00    4.96766271150E-01
  3.67343108798E+00    5.06798050490E-01
  3.68073413189E+00    5.16872221720E-01
  3.68803717580E+00    5.27015734572E-01
  3.69534021971E+00    5.37195022335E-01
  3.70264326363E+00    5.47437915406E-01
  3.70994630754E+00    5.57709852642E-01
  3.71724935145E+00    5.68039551855E-01
  3.72455239536E+00    5.78391473895E-01
  3.73185543928E+00    5.88795229601E-01
  3.73915848319E+00    5.99214319628E-01
  3.74646152710E+00    6.09679251606E-01
  3.75376457101E+00    6.20152585340E-01
  3.76106761493E+00    6.30665727473E-01
  3.76837065884E+00    6.41180317344E-01
  3.77567370275E+00    6.51728661868E-01
  3.78297674666E+00    6.62271500558E-01
  3.79027979058E+00    6.72842040546E-01
  3.79758283449E+00    6.83400143920E-01
  3.80488587840E+00    6.93979915352E-01
  3.81218892231E+00    7.04540363242E-01
  3.81949196623E+00    7.15116486108E-01
  3.82679501014E+00    7.25666462299E-01
  3.83409805405E+00    7.36226179381E-01
  3.84140109796E+00    7.46753010163E-01
  3.84870414188E+00    7.57283724472E-01
  3.85600718579E+00    7.67774915390E-01
  3.86331022970E+00    7.78264226224E-01
  3.87061327361E+00    7.88707496530E-01
  3.87791631753E+00    7.99143233540E-01
  3.88521936144E+00    8.09526549112E-01
  3.89252240535E+00    8.19896803778E-01
  3.89982544926E+00    8.30208408633E-01
  3.90712849318E+00    8.40501564235E-01
  3.91443153709E+00    8.50730008322E-01
  3.92173458100E+00    8.60934768041E-01
  3.92903762491E+00    8.71068934652E-01
  3.93634066883E+00    8.81174346240E-01
  3.94364371274E+00    8.91203475982E-01
  3.95094675665E+00    9.01198956171E-01
  3.95824980056E+00    9.11112668716E-01
  3.96555284448E+00    9.20988023367E-01
  3.97285588839E+00    9.30776338364E-01
  3.98015893230E+00    9.40521781428E-01
  3.98746197621E+00    9.50175135307E-01
  3.99476502013E+00    9.59781305518E-01
  4.00206806404E+00    9.69290567188E-01
  4.00937110795E+00    9.78748542501E-01
  4.01667415186E+00    9.88105026417E-01
  4.02397719578E+00    9.97406335906E-01
  4.03128023969E+00    1.00660181318E+00
  4.03858328360E+00    1.01573844732E+00
  4.04588632751E+00    1.02476515470E+00
  4.05318937143E+00    1.03372957294E+00
  4.06049241534E+00    1.04258021960E+00
  4.06779545925E+00    1.05136535646E+00
  4.07509850316E+00    1.06003312917E+00
  4.08240154708E+00    1.06863239814E+00
  4.08970459099E+00    1.07711096365E+00
  4.09700763490E+00    1.08551825963E+00
  4.10431067881E+00    1.09380176617E+00
  4.11161372273E+00    1.10201146510E+00
  4.11891676664E+00    1.11009454210E+00
  4.12621981055E+00    1.11810150005E+00
  4.13352285446E+00    1.12597925530E+00
  4.14082589838E+00    1.13377880520E+00
  4.14812894229E+00    1.14144682150E+00
  4.15543198620E+00    1.14903476890E+00
  4.16273503011E+00    1.15648909849E+00
  4.17003807403E+00    1.16386171548E+00
  4.17734111794E+00    1.17109887362E+00
  4.18464416185E+00    1.17825289145E+00
  4.19194720576E+00    1.18526984875E+00
  4.19925024968E+00    1.19220244940E+00
  4.20655329359E+00    1.19899662245E+00
  4.21385633750E+00    1.20570542953E+00
  4.22115938141E+00    1.21227467087E+00
  4.22846242533E+00    1.21875773848E+00
  4.23576546924E+00    1.22510032593E+00
  4.24306851315E+00    1.23135612758E+00
  4.25037155706E+00    1.23747075169E+00
  4.25767460098E+00    1.24349816828E+00
  4.26497764489E+00    1.24938392006E+00
  4.27228068880E+00    1.25518222628E+00
  4.27958373271E+00    1.26083858425E+00
  4.28688677663E+00    1.26640743520E+00
  4.29418982054E+00    1.27183425098E+00
  4.30149286445E+00    1.27717366844E+00
  4.30879590836E+00    1.28237115249E+00
  4.31609895228E+00    1.28748150974E+00
  4.32340199619E+00    1.29245021685E+00
  4.33070504010E+00    1.29733222442E+00
  4.33800808401E+00    1.30207303802E+00
  4.34531112793E+00    1.30672772791E+00
  4.35261417184E+00    1.31124184585E+00
  4.35991721575E+00    1.31567055619E+00
  4.36722025966E+00    1.31995947399E+00
  4.37452330358E+00    1.32416383408E+00
  4.38182634749E+00    1.32822933011E+00
  4.38912939140E+00    1.33221124381E+00
  4.39643243531E+00    1.33605536379E+00
  4.40373547923E+00    1.33981699474E+00
  4.41103852314E+00    1.34344203546E+00
  4.41834156705E+00    1.34698579106E+00
  4.42564461096E+00    1.35039428542E+00
  4.43294765488E+00    1.35372280207E+00
  4.44025069879E+00    1.35691750305E+00
  4.44755374270E+00    1.36003362990E+00
  4.45485678661E+00    1.36301749639E+00
  4.46215983053E+00    1.36592428083E+00
  4.46946287444E+00    1.36870046180E+00
  4.47676591835E+00    1.37140113454E+00
  4.48406896226E+00    1.37397295456E+00
  4.49137200618E+00    1.37647091483E+00
  4.49867505009E+00    1.37884186009E+00
  4.50597809400E+00    1.38114066182E+00
  4.51328113791E+00    1.38331436530E+00
  4.52058418183E+00    1.38541770280E+00
  4.52788722574E+00    1.38739793122E+00
  4.53519026965E+00    1.38930962605E+00
  4.54249331356E+00    1.39110026617E+00
  4.54979635747E+00    1.39282425375E+00
  4.55709940139E+00    1.39442929953E+00
  4.56440244530E+00    1.39596961667E+00
  4.57170548921E+00    1.39739315693E+00
