 # material = aluminum                
 # eff mass density (g/cc) =    2.70000000000000     
 # Zbar =    2.88757004311296     
#            r(a_B)                    ne_pa                     ne_scr                    ne_ion                    nefull                    neext 
        0.86227047838E-003        0.17685072049E+006        0.50838596934E+001        0.17684563663E+006        0.17685072196E+006        0.14734271363E-002
        0.87472187652E-003        0.17308161226E+006        0.50473911756E+001        0.17307656487E+006        0.17308161374E+006        0.14734280318E-002
        0.88726253199E-003        0.16941867474E+006        0.50114407905E+001        0.16941366330E+006        0.16941867621E+006        0.14734289328E-002
        0.89989244480E-003        0.16585819647E+006        0.49759975451E+001        0.16585322047E+006        0.16585819794E+006        0.14734298395E-002
        0.91261161495E-003        0.16239662061E+006        0.49410507547E+001        0.16239167955E+006        0.16239662208E+006        0.14734307518E-002
        0.92542004242E-003        0.15903053746E+006        0.49065900333E+001        0.15902563087E+006        0.15903053894E+006        0.14734316697E-002
        0.93831772724E-003        0.15575667744E+006        0.48726052827E+001        0.15575180483E+006        0.15575667891E+006        0.14734325932E-002
        0.95130466938E-003        0.15257190435E+006        0.48390866831E+001        0.15256706526E+006        0.15257190582E+006        0.14734335222E-002
        0.96438086886E-003        0.14947320913E+006        0.48060246829E+001        0.14946840310E+006        0.14947321060E+006        0.14734344568E-002
        0.97754632568E-003        0.14645770385E+006        0.47734099904E+001        0.14645293044E+006        0.14645770533E+006        0.14734353969E-002
        0.99080103983E-003        0.14352261609E+006        0.47412335642E+001        0.14351787486E+006        0.14352261756E+006        0.14734363425E-002
        0.10041450113E-002        0.14066528354E+006        0.47094866052E+001        0.14066057406E+006        0.14066528502E+006        0.14734372936E-002
        0.10175782401E-002        0.13788314898E+006        0.46781605488E+001        0.13787847082E+006        0.13788315046E+006        0.14734382501E-002
        0.10311007263E-002        0.13517375544E+006        0.46472470566E+001        0.13516910820E+006        0.13517375692E+006        0.14734392122E-002
        0.10447124698E-002        0.13253474166E+006        0.46167380096E+001        0.13253012493E+006        0.13253474314E+006        0.14734401796E-002
        0.10584134706E-002        0.12996383776E+006        0.45866255000E+001        0.12995925114E+006        0.12996383924E+006        0.14734411525E-002
        0.10722037287E-002        0.12745886114E+006        0.45569018254E+001        0.12745430424E+006        0.12745886262E+006        0.14734421308E-002
        0.10860832442E-002        0.12501771260E+006        0.45275594819E+001        0.12501318505E+006        0.12501771408E+006        0.14734431144E-002
        0.11000520171E-002        0.12263837264E+006        0.44985911574E+001        0.12263387405E+006        0.12263837411E+006        0.14734441035E-002
        0.11141100472E-002        0.12031889794E+006        0.44699897259E+001        0.12031442795E+006        0.12031889941E+006        0.14734450979E-002
        0.11282573347E-002        0.11805741805E+006        0.44417482415E+001        0.11805297630E+006        0.11805741952E+006        0.14734460976E-002
        0.11424938795E-002        0.11585213220E+006        0.44138599324E+001        0.11584771834E+006        0.11585213368E+006        0.14734471026E-002
        0.11568196817E-002        0.11370130632E+006        0.43863181961E+001        0.11369692000E+006        0.11370130779E+006        0.14734481130E-002
        0.11712347412E-002        0.11160327013E+006        0.43591165937E+001        0.11159891101E+006        0.11160327160E+006        0.14734491286E-002
        0.11857390580E-002        0.10955641447E+006        0.43322488446E+001        0.10955208222E+006        0.10955641594E+006        0.14734501495E-002
