 # atomic units 
 #
 # material = aluminum                
 # nfraction =    1.00000000000000     
 # Zbar =    3.00045714612893     
 #
 # screening length =  0.924612864249089     
# r     (v(i,j),j=i,nspecies, i=1,nspecies)     (dv/dr(i,j),j=i,nspecies, i=1,nspecies)
        0.28116719063E+001        0.49833653792E+000       -0.72226369560E+000
        0.28189749502E+001        0.49308441570E+000       -0.71609979608E+000
        0.28262779941E+001        0.48787700557E+000       -0.70997219807E+000
        0.28335810380E+001        0.48271438369E+000       -0.70388085330E+000
        0.28408840820E+001        0.47759594613E+000       -0.69782571797E+000
        0.28481871259E+001        0.47252176620E+000       -0.69180675141E+000
        0.28554901698E+001        0.46749124402E+000       -0.68582391731E+000
        0.28627932137E+001        0.46250444999E+000       -0.67987718129E+000
        0.28700962576E+001        0.45756078817E+000       -0.67396651147E+000
        0.28773993015E+001        0.45266032601E+000       -0.66809187562E+000
        0.28847023454E+001        0.44780247142E+000       -0.66225324274E+000
        0.28920053893E+001        0.44298728895E+000       -0.65645058022E+000
        0.28993084333E+001        0.43821419032E+000       -0.65068385386E+000
        0.29066114772E+001        0.43348323728E+000       -0.64495302609E+000
        0.29139145211E+001        0.42879384535E+000       -0.63925805674E+000
        0.29212175650E+001        0.42414607365E+000       -0.63359890108E+000
        0.29285206089E+001        0.41953934156E+000       -0.62797551047E+000
        0.29358236528E+001        0.41497370571E+000       -0.62238783165E+000
        0.29431266967E+001        0.41044858943E+000       -0.61683580797E+000
        0.29504297406E+001        0.40596404704E+000       -0.61131937772E+000
        0.29577327846E+001        0.40151950590E+000       -0.60583847781E+000
        0.29650358285E+001        0.39711501813E+000       -0.60039304251E+000
        0.29723388724E+001        0.39275001514E+000       -0.59498300536E+000
        0.29796419163E+001        0.38842454696E+000       -0.58960830056E+000
        0.29869449602E+001        0.38413804900E+000       -0.58426886693E+000
        0.29942480041E+001        0.37989056918E+000       -0.57896464839E+000
        0.30015510480E+001        0.37568154670E+000       -0.57369559812E+000
        0.30088540919E+001        0.37151102721E+000       -0.56846168007E+000
        0.30161571359E+001        0.36737845337E+000       -0.56326286628E+000
        0.30234601798E+001        0.36328386833E+000       -0.55809913182E+000
        0.30307632237E+001        0.35922671802E+000       -0.55297045429E+000
        0.30380662676E+001        0.35520704301E+000       -0.54787680790E+000
        0.30453693115E+001        0.35122429248E+000       -0.54281816506E+000
