 # atomic units 
 #
 # material = aluminum                
 # nfraction =    1.00000000000000     
 # Zbar =    4.35322408794477     
 #
 # screening length =   1.57153029298550     
# r     (v(i,j),j=i,nspecies, i=1,nspecies)     (dv/dr(i,j),j=i,nspecies, i=1,nspecies)
        0.84818746881E+000        0.16167782641E+002       -0.26743839395E+002
        0.85184344928E+000        0.16070410448E+002       -0.26523691345E+002
        0.85549942975E+000        0.15973839010E+002       -0.26305762790E+002
        0.85915541022E+000        0.15878060350E+002       -0.26090013163E+002
        0.86281139069E+000        0.15783066513E+002       -0.25876403256E+002
        0.86646737115E+000        0.15688849808E+002       -0.25664895179E+002
        0.87012335162E+000        0.15595402555E+002       -0.25455452320E+002
        0.87377933209E+000        0.15502717333E+002       -0.25248039307E+002
        0.87743531256E+000        0.15410786721E+002       -0.25042621971E+002
        0.88109129303E+000        0.15319603545E+002       -0.24839167303E+002
        0.88474727350E+000        0.15229160628E+002       -0.24637643422E+002
        0.88840325397E+000        0.15139451028E+002       -0.24438019537E+002
        0.89205923444E+000        0.15050467795E+002       -0.24240265913E+002
        0.89571521491E+000        0.14962204202E+002       -0.24044353833E+002
        0.89937119538E+000        0.14874653509E+002       -0.23850255569E+002
        0.90302717584E+000        0.14787809193E+002       -0.23657944344E+002
        0.90668315631E+000        0.14701664711E+002       -0.23467394304E+002
        0.91033913678E+000        0.14616213726E+002       -0.23278580483E+002
        0.91399511725E+000        0.14531449880E+002       -0.23091478774E+002
        0.91765109772E+000        0.14447367011E+002       -0.22906065898E+002
        0.92130707819E+000        0.14363958932E+002       -0.22722319374E+002
        0.92496305866E+000        0.14281219646E+002       -0.22540217492E+002
        0.92861903913E+000        0.14199143123E+002       -0.22359739284E+002
        0.93227501960E+000        0.14117723519E+002       -0.22180864494E+002
        0.93593100007E+000        0.14036954955E+002       -0.22003573556E+002
        0.93958698053E+000        0.13956831728E+002       -0.21827847565E+002
        0.94324296100E+000        0.13877348097E+002       -0.21653668251E+002
        0.94689894147E+000        0.13798498494E+002       -0.21481017957E+002
        0.95055492194E+000        0.13720277307E+002       -0.21309879613E+002
        0.95421090241E+000        0.13642679091E+002       -0.21140236710E+002
        0.95786688288E+000        0.13565698356E+002       -0.20972073285E+002
        0.96152286335E+000        0.13489329774E+002       -0.20805373888E+002
        0.96517884382E+000        0.13413567968E+002       -0.20640123570E+002
        0.96883482429E+000        0.13338407718E+002       -0.20476307858E+002
        0.97249080476E+000        0.13263843754E+002       -0.20313912732E+002
        0.97614678522E+000        0.13189870959E+002       -0.20152924611E+002
