# Time-correlated data for fix SS
# Timestep Number-of-time-windows
# Index TimeDelta Ncount v_pxy*v_pxy v_pxz*v_pxz v_pyz*v_pyz
11000 200
20 95 564 1.15134e+07 5.00207e+06 1.28042e+07
21 100 563 1.14543e+07 4.97832e+06 1.27339e+07
22 105 562 1.13926e+07 4.95308e+06 1.26627e+07
23 110 561 1.13283e+07 4.92637e+06 1.25906e+07
24 115 560 1.12616e+07 4.89822e+06 1.25178e+07
25 120 559 1.11924e+07 4.86865e+06 1.24441e+07
26 125 558 1.11208e+07 4.83771e+06 1.23697e+07
27 130 557 1.10469e+07 4.80541e+06 1.22946e+07
28 135 556 1.09708e+07 4.77179e+06 1.22188e+07
29 140 555 1.08924e+07 4.73688e+06 1.21424e+07
30 145 554 1.08118e+07 4.70071e+06 1.20655e+07
31 150 553 1.07292e+07 4.66333e+06 1.1988e+07
32 155 552 1.06445e+07 4.62476e+06 1.191e+07
33 160 551 1.05579e+07 4.58504e+06 1.18316e+07
34 165 550 1.04693e+07 4.5442e+06 1.17529e+07
35 170 549 1.03789e+07 4.5023e+06 1.16738e+07
36 175 548 1.02867e+07 4.45936e+06 1.15945e+07
37 180 547 1.01928e+07 4.41542e+06 1.15149e+07
38 185 546 1.00972e+07 4.37053e+06 1.14352e+07
39 190 545 1e+07 4.32472e+06 1.13553e+07
40 195 544 9.9013e+06 4.27803e+06 1.12754e+07
41 200 543 9.80109e+06 4.23052e+06 1.11954e+07
42 205 542 9.69947e+06 4.18221e+06 1.11154e+07
43 210 541 9.5965e+06 4.13315e+06 1.10354e+07
44 215 540 9.49224e+06 4.08338e+06 1.09556e+07
45 220 539 9.38674e+06 4.03295e+06 1.08759e+07
46 225 538 9.28006e+06 3.98189e+06 1.07964e+07
47 230 537 9.17227e+06 3.93026e+06 1.07172e+07
48 235 536 9.06343e+06 3.87808e+06 1.06382e+07
49 240 535 8.9536e+06 3.82541e+06 1.05596e+07
50 245 534 8.84282e+06 3.77229e+06 1.04814e+07
51 250 533 8.73115e+06 3.71876e+06 1.04035e+07
52 255 532 8.61867e+06 3.66486e+06 1.03262e+07
53 260 531 8.50543e+06 3.61064e+06 1.02494e+07
54 265 530 8.39149e+06 3.55613e+06 1.01731e+07
55 270 529 8.27688e+06 3.50137e+06 1.00974e+07
56 275 528 8.16168e+06 3.44642e+06 1.00223e+07
57 280 527 8.04591e+06 3.3913e+06 9.94786e+06
58 285 526 7.92965e+06 3.33606e+06 9.87415e+06
59 290 525 7.81292e+06 3.28074e+06 9.8012e+06
60 295 524 7.69579e+06 3.22537e+06 9.72904e+06
61 300 523 7.5783e+06 3.17e+06 9.65768e+06
62 305 522 7.46049e+06 3.11466e+06 9.58717e+06
63 310 521 7.34241e+06 3.05938e+06 9.51755e+06
64 315 520 7.22412e+06 3.00421e+06 9.44885e+06
65 320 519 7.10567e+06 2.94918e+06 9.3811e+06
66 325 518 6.98707e+06 2.89432e+06 9.3143e+06
67 330 517 6.86838e+06 2.83967e+06 9.24852e+06
68 335 516 6.74963e+06 2.78525e+06 9.18378e+06
69 340 515 6.63088e+06 2.73111e+06 9.1201e+06
70 345 514 6.51214e+06 2.67727e+06 9.05751e+06
71 350 513 6.39346e+06 2.62376e+06 8.99604e+06
72 355 512 6.27486e+06 2.57061e+06 8.93572e+06
73 360 511 6.1564e+06 2.51784e+06 8.87655e+06
74 365 510 6.03808e+06 2.46549e+06 8.81857e+06
75 370 509 5.91995e+06 2.41358e+06 8.76179e+06
76 375 508 5.80204e+06 2.36213e+06 8.70623e+06
77 380 507 5.68437e+06 2.31117e+06 8.65191e+06
